id,aq_total_4,os,os_costOnly,os_decay,os_evidenceOnly,ts_decay,ts_decay_stop,ts_flex_decay,ts_flex_decay_stop,ts_ratio_decay,ts_ratio_decay_stop,ts2_decay,ts2_decay_stop,ts2_flex_decay,ts2_flex_decay_stop,ts2_ratio_decay,ts2_ratio_decay_stop
17,74,7238.138245849363,6762.175119750989,7263.308394817736,7662.712344821868,6044.206346192727,5767.125777352327,6002.800754167787,5758.428305368707,6969.217425784285,5762.379663258307,7249.691641958452,7266.888467771558,6911.248984623206,7156.385507971251,6691.9713805145975,7179.618383702999
54,74,7159.150126121619,7260.828267793462,7160.6276794234855,7450.395201729117,6259.829780897913,6581.320167930273,6342.204935221104,6388.168744606869,6908.671229369518,6404.069780870151,6549.469703026857,7221.30988453936,6840.9643924383945,7163.797798753052,7021.736698005782,7213.421672348234
63,74,6682.721429004826,6835.8474475670355,6690.957219659097,6942.675913692263,5249.164903953716,5908.786540593687,6289.700286520138,5890.488737760485,6075.482981732135,5905.9158161456135,6609.75534514756,6590.696551680544,6006.095388235593,6501.387054715163,6084.872714614633,6577.646311757956
80,74,7756.688543194926,7837.504244129083,7761.670065306044,7884.920681747545,5617.021033001591,7006.877212086899,6876.460808561213,7082.026975602953,5613.9819556634675,6981.132712181415,6974.404946109867,7230.4341933373125,6247.250234372129,7179.909503699418,6742.374366001432,7191.1776825246825
112,74,6995.7447810653,6529.439778536054,7000.308002656954,7321.514850236307,5406.844257150857,5158.808335253117,5530.0211640482075,5153.052826474946,6042.71532951736,5153.940282445709,7090.776618881335,6900.2235478652465,6498.625496189325,6857.600279967349,6342.324231089076,6877.637820718097
2,75,7602.229089017569,7934.728553950035,7600.428673705018,7903.234630349006,7376.488944400419,7518.846024314559,7494.662255458688,7344.392706354822,7169.2033761115845,7524.064759340904,7503.597645504197,7661.496501758264,7436.465034163578,7526.988153893342,6958.237562417139,7554.1687122909925
68,75,5243.43839120086,5624.525379421667,5201.761722715557,5425.397557395154,5053.004022102336,4822.698846693323,4900.945220618242,4818.891129198515,4990.694714816589,4820.656663380741,5204.8562074207985,5103.8899713352685,5010.083943404798,5064.466004020171,5084.875907837667,5094.41077115882
9,76,6100.459057007455,6359.448017457353,6101.782649664311,6146.343664009468,5318.027760662711,6026.475412406542,6045.925064886922,6020.253148339383,5497.8318098888485,6020.841242221798,5928.412731293979,5960.910487407062,5868.552300918431,5940.292429573146,5843.435100491784,5958.852839361572
39,76,4325.361209678967,4437.672449768025,4327.39102243294,4732.340000522368,3032.421742421529,3792.875827304069,3761.1645854002372,3882.271519952107,2649.775528368213,4056.3115392653053,3121.105132385565,3392.383275869347,3082.0297688209753,3165.169712525273,2692.135411937549,3390.337947020691
48,76,3197.1132216769875,3571.516297398343,3199.717228542441,3472.5923958402796,2410.329370301033,3091.8423644464274,2738.460002529388,2991.6717483842435,2520.484340779366,3089.94203416725,3116.6507460931334,3205.123988069491,2835.69992853003,3136.7433343913535,2679.242737338174,3213.432499351908
36,77,7709.878794263282,6199.363147507666,7740.79525579617,8039.362319766889,4718.055753037005,3685.458849588213,4833.863833890223,3683.42978077939,5331.834870009353,3683.4286208277804,7708.532213926289,7667.5863259036,5953.242556674844,7260.733307677851,7046.783465486342,7278.802900954573
24,78,8222.087611811561,7670.424861538023,8214.35227048443,8577.079486099177,4975.060513733305,6812.834277798291,6820.082358712893,6804.754459633442,5657.418353521353,6811.6884532561,8181.437530142911,7709.375646532343,7016.854630856552,7651.61390149336,7260.502858078713,7704.554433620602
30,78,7431.918512460377,7543.728813061666,7399.0401269732165,7660.824654792813,6543.943136236378,6426.258677327656,6357.850414727487,6391.881334560844,7292.655344796431,6395.939319024568,7465.636278327975,7439.967393309847,7303.771831017573,7409.8639741606685,7121.968603972533,7437.533244547407
108,78,5921.618927322453,5589.356582505371,5931.87063028968,6380.962723692615,3778.474183198271,4905.868808259245,4946.59902129743,4851.676887015705,4655.396511226486,4930.387752812267,5562.764631838623,6058.960261691874,5198.310440981944,5942.697334139973,5297.494320753726,6053.193753143586
21,79,7172.202986115895,7042.545289047904,7219.596034700768,7601.362868302001,5619.861066185785,5530.529879301198,6657.993444390943,6364.598994205944,6149.647886631916,6476.363389477157,7184.160119396521,7246.810791305783,6620.786672382434,7141.184342291442,6557.470748411458,7173.918386069504
43,79,4020.8040803091308,4281.923719655262,4022.829260048991,4257.715427108543,1282.838790345187,1689.091527628395,1642.0187523905431,2813.671993398581,2237.932508168115,1726.8285204887272,2205.300859555295,2609.6497611049735,2648.247434998027,2621.191837995469,2838.0693506674256,2640.4261591488134
104,79,7585.073228399334,7376.746035423452,7591.627704277344,8060.039791536829,6865.757226900534,6524.704714267731,6408.8140202525465,6520.952273520236,7117.807219523244,6523.562069858855,7649.728699072357,7632.284200422006,7267.801942581216,7589.494507663227,7033.786151460821,7626.555322273441
106,80,7248.311234608738,7080.999951623724,7248.157819966151,7494.534363683042,5732.505816062709,5927.508218280756,6189.746579660933,5923.292437213869,6399.457517765686,5925.361302067642,7326.092632625535,7194.992802298691,6778.68802867524,7185.817679578242,6748.362279623601,7192.9561255078
55,81,7723.114673576748,6185.932007781958,8180.312611559072,8190.627490214819,4802.958679151181,5793.638375295651,6197.016519092889,5602.522028743198,7581.167672412222,6083.310284999868,7970.656407466849,7819.388775295563,6556.56255915919,7939.572788082955,6179.172773417192,7974.317951363016
69,81,7378.044668240515,7385.856472128307,7431.510818880322,7739.335254350225,5406.120824826329,5335.919254608345,5321.648857453322,5321.645701476913,6721.890716589436,5337.982656473702,7302.099816917842,7397.016916777837,6546.003409063842,7380.926558495236,7044.972177603425,7389.40629850268
8,82,7559.114201396235,7763.884997547688,7559.494230004666,7862.918450673793,5867.224423223061,6217.179001396946,5865.224124874383,5806.874956938917,6848.127197787493,6211.997862135438,7339.093344236107,7266.007884792688,7135.2303353718735,7157.475835536831,7338.0834586607,7197.341737834216
67,82,6579.250424488996,6454.522237700262,6568.536913180404,6980.488151819409,3922.840811724197,3885.3425685728407,3636.012216110952,3887.3575784800364,5126.427782377163,3936.8921398214547,6436.634030802865,5668.970772846389,5663.797717599175,5505.679008594986,5439.700661591753,5575.740616651964
